1 100 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
2 200 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
3 300 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
4 400 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
5 500 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
6 600 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
7 700 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
8 800 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
9 900 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
10 1000 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
11 1100 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
12 1200 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
13 1300 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
14 1400 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
15 1500 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
16 1600 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
17 1700 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
18 1800 0 1 0 0 0.0 0.0 0.0 0.0 0 0 0 0
